Bin,Frequency_Hz,Power
286,1117.19,0.014421
287,1121.09,0.014982
288,1125.00,0.015047
289,1128.91,0.014106
290,1132.81,0.013648
291,1136.72,0.013495
292,1140.62,0.014729
293,1144.53,0.013077
294,1148.44,0.017271
295,1152.34,0.014399
296,1156.25,0.013013
297,1160.16,0.011802
298,1164.06,0.011179
299,1167.97,0.010810
300,1171.88,0.010159
301,1175.78,0.010298
302,1179.69,0.010211
303,1183.59,0.009724
304,1187.50,0.009699
305,1191.41,0.009149
306,1195.31,0.008321
307,1199.22,0.010864
308,1203.12,0.007825
309,1207.03,0.007970
310,1210.94,0.007947
311,1214.84,0.007493
312,1218.75,0.006658
313,1222.66,0.006946
314,1226.56,0.007359
315,1230.47,0.006439
316,1234.38,0.006404
317,1238.28,0.005849
318,1242.19,0.005532
319,1246.09,0.005498
320,1250.00,0.007064
321,1253.91,0.005082
322,1257.81,0.005134
323,1261.72,0.004661
324,1265.62,0.004605
325,1269.53,0.004363
326,1273.44,0.003689
327,1277.34,0.003732
328,1281.25,0.003837
329,1285.16,0.003653
330,1289.06,0.004050
331,1292.97,0.003480
332,1296.88,0.003495
333,1300.78,0.004152
334,1304.69,0.004226
335,1308.59,0.003685
336,1312.50,0.003478
337,1316.41,0.003980
338,1320.31,0.004293
339,1324.22,0.003976
340,1328.12,0.004153
341,1332.03,0.004296
342,1335.94,0.005121
343,1339.84,0.005319
344,1343.75,0.004397
345,1347.66,0.004519
346,1351.56,0.004585
347,1355.47,0.004478
348,1359.38,0.004763
349,1363.28,0.004660
350,1367.19,0.004296
351,1371.09,0.004715
352,1375.00,0.004711
353,1378.91,0.004851
354,1382.81,0.004723
355,1386.72,0.004650
356,1390.62,0.004549
357,1394.53,0.004978
358,1398.44,0.004920
359,1402.34,0.004960
360,1406.25,0.004801
361,1410.16,0.004809
362,1414.06,0.004634
363,1417.97,0.004783
364,1421.88,0.005050
365,1425.78,0.004809
366,1429.69,0.005270
367,1433.59,0.004655
368,1437.50,0.004562
369,1441.41,0.004718
370,1445.31,0.004700
371,1449.22,0.006853
372,1453.12,0.004819
373,1457.03,0.004613
374,1460.94,0.004565
375,1464.84,0.004388
376,1468.75,0.004456
377,1472.66,0.004235
378,1476.56,0.004105
379,1480.47,0.004104
380,1484.38,0.003939
381,1488.28,0.003876
382,1492.19,0.003822
383,1496.09,0.004075
384,1500.00,0.004185
385,1503.91,0.003611
386,1507.81,0.004033
387,1511.72,0.003632
388,1515.62,0.003512
389,1519.53,0.003549
390,1523.44,0.003228
391,1527.34,0.003285
392,1531.25,0.003517
393,1535.16,0.003138
394,1539.06,0.003309
395,1542.97,0.003068
396,1546.88,0.002659
397,1550.78,0.002840
398,1554.69,0.003131
399,1558.59,0.003143
400,1562.50,0.004162
401,1566.41,0.002519
402,1570.31,0.002565
403,1574.22,0.002614
404,1578.12,0.002654
405,1582.03,0.002509
406,1585.94,0.002517
407,1589.84,0.002509
408,1593.75,0.002815
409,1597.66,0.002478
410,1601.56,0.002786
411,1605.47,0.002577
412,1609.38,0.002503
413,1613.28,0.002787
414,1617.19,0.002735
415,1621.09,0.002888
416,1625.00,0.002696
417,1628.91,0.002850
418,1632.81,0.003139
419,1636.72,0.002910
420,1640.62,0.003114
421,1644.53,0.002861
422,1648.44,0.002997
423,1652.34,0.003232
424,1656.25,0.003367
425,1660.16,0.003155
426,1664.06,0.003132
427,1667.97,0.003230
428,1671.88,0.004887
429,1675.78,0.003381
430,1679.69,0.003301
431,1683.59,0.003315
432,1687.50,0.003315
433,1691.41,0.003402
434,1695.31,0.003378
435,1699.22,0.003343
436,1703.12,0.003475
437,1707.03,0.003284
438,1710.94,0.003428
439,1714.84,0.003438
440,1718.75,0.003261
441,1722.66,0.003453
442,1726.56,0.003356
443,1730.47,0.003196
444,1734.38,0.003247
