Bin,Frequency_Hz,Power
286,1117.19,0.003391
287,1121.09,0.002693
288,1125.00,0.002452
289,1128.91,0.002600
290,1132.81,0.002955
291,1136.72,0.002660
292,1140.62,0.002433
293,1144.53,0.002678
294,1148.44,0.002366
295,1152.34,0.002582
296,1156.25,0.002989
297,1160.16,0.002678
298,1164.06,0.002802
299,1167.97,0.002728
300,1171.88,0.002863
301,1175.78,0.002750
302,1179.69,0.002809
303,1183.59,0.002709
304,1187.50,0.002548
305,1191.41,0.002698
306,1195.31,0.002928
307,1199.22,0.002824
308,1203.12,0.002402
309,1207.03,0.002680
310,1210.94,0.002530
311,1214.84,0.002533
312,1218.75,0.002563
313,1222.66,0.002562
314,1226.56,0.004981
315,1230.47,0.002629
316,1234.38,0.002325
317,1238.28,0.002571
318,1242.19,0.002727
319,1246.09,0.002745
320,1250.00,0.002977
321,1253.91,0.002605
322,1257.81,0.002423
323,1261.72,0.002547
324,1265.62,0.002812
325,1269.53,0.002475
326,1273.44,0.002494
327,1277.34,0.002326
328,1281.25,0.002282
329,1285.16,0.002515
330,1289.06,0.002505
331,1292.97,0.002488
332,1296.88,0.002530
333,1300.78,0.002456
334,1304.69,0.002844
335,1308.59,0.002497
336,1312.50,0.002412
337,1316.41,0.002096
338,1320.31,0.002105
339,1324.22,0.002292
340,1328.12,0.002589
341,1332.03,0.002486
342,1335.94,0.003500
343,1339.84,0.003457
344,1343.75,0.002605
345,1347.66,0.002574
346,1351.56,0.002676
347,1355.47,0.002438
348,1359.38,0.002626
349,1363.28,0.002510
350,1367.19,0.002419
351,1371.09,0.002624
352,1375.00,0.002575
353,1378.91,0.002704
354,1382.81,0.003017
355,1386.72,0.002772
356,1390.62,0.003042
357,1394.53,0.002834
358,1398.44,0.002880
359,1402.34,0.002926
360,1406.25,0.002548
361,1410.16,0.002843
362,1414.06,0.002933
363,1417.97,0.002974
364,1421.88,0.002743
365,1425.78,0.002943
366,1429.69,0.003231
367,1433.59,0.003033
368,1437.50,0.003032
369,1441.41,0.003144
370,1445.31,0.003422
371,1449.22,0.005499
372,1453.12,0.003025
373,1457.03,0.003064
374,1460.94,0.003068
375,1464.84,0.003236
376,1468.75,0.003253
377,1472.66,0.003194
378,1476.56,0.003290
379,1480.47,0.003197
380,1484.38,0.003462
381,1488.28,0.002999
382,1492.19,0.002918
383,1496.09,0.003167
384,1500.00,0.003111
385,1503.91,0.003246
386,1507.81,0.003070
387,1511.72,0.003107
388,1515.62,0.003127
389,1519.53,0.003112
390,1523.44,0.003200
391,1527.34,0.003010
392,1531.25,0.002718
393,1535.16,0.002955
394,1539.06,0.003276
395,1542.97,0.003189
396,1546.88,0.002846
397,1550.78,0.003069
398,1554.69,0.002907
399,1558.59,0.003568
400,1562.50,0.004400
401,1566.41,0.002896
402,1570.31,0.003238
403,1574.22,0.002744
404,1578.12,0.002774
405,1582.03,0.002891
406,1585.94,0.002693
407,1589.84,0.002675
408,1593.75,0.002596
409,1597.66,0.002762
410,1601.56,0.002648
411,1605.47,0.002787
412,1609.38,0.002356
413,1613.28,0.002556
414,1617.19,0.002848
415,1621.09,0.002551
416,1625.00,0.002653
417,1628.91,0.002662
418,1632.81,0.002282
419,1636.72,0.002576
420,1640.62,0.002914
421,1644.53,0.002937
422,1648.44,0.002766
423,1652.34,0.002831
424,1656.25,0.002845
425,1660.16,0.002753
426,1664.06,0.002716
427,1667.97,0.003006
428,1671.88,0.005274
429,1675.78,0.003110
430,1679.69,0.003242
431,1683.59,0.003155
432,1687.50,0.003434
433,1691.41,0.003250
434,1695.31,0.003417
435,1699.22,0.003205
436,1703.12,0.003291
437,1707.03,0.003422
438,1710.94,0.003470
439,1714.84,0.003492
440,1718.75,0.003588
441,1722.66,0.003442
442,1726.56,0.003609
443,1730.47,0.003519
444,1734.38,0.003635
445,1738.28,0.003755
446,1742.19,0.003527
447,1746.09,0.003600
448,1750.00,0.006211
449,1753.91,0.003762
450,1757.81,0.003867
451,1761.72,0.003893
452,1765.62,0.003832
453,1769.53,0.003821
454,1773.44,0.003994
455,1777.34,0.003849
456,1781.25,0.004539
457,1785.16,0.005367
458,1789.06,0.003612
459,1792.97,0.003976
460,1796.88,0.003922
461,1800.78,0.003829
462,1804.69,0.003602
463,1808.59,0.003758
464,1812.50,0.003743
465,1816.41,0.003945
466,1820.31,0.003845
467,1824.22,0.003921
468,1828.12,0.004002
469,1832.03,0.003670
470,1835.94,0.003837
471,1839.84,0.003874
472,1843.75,0.003886
473,1847.66,0.003759
474,1851.56,0.003882
475,1855.47,0.003550
476,1859.38,0.003561
477,1863.28,0.003541
478,1867.19,0.003669
479,1871.09,0.003563
480,1875.00,0.003292
481,1878.91,0.003373
482,1882.81,0.003063
483,1886.72,0.003316
484,1890.62,0.003626
485,1894.53,0.004878
