Bin,Frequency_Hz,Power
286,1117.19,0.161624
287,1121.09,0.160946
288,1125.00,0.171662
289,1128.91,0.138444
290,1132.81,0.159554
291,1136.72,0.160426
292,1140.62,0.147622
293,1144.53,0.119493
294,1148.44,0.139761
295,1152.34,0.146818
296,1156.25,0.146201
297,1160.16,0.149373
298,1164.06,0.148841
299,1167.97,0.156348
300,1171.88,0.140693
301,1175.78,0.163760
302,1179.69,0.169009
303,1183.59,0.205627
304,1187.50,0.227720
305,1191.41,0.209844
306,1195.31,0.249889
307,1199.22,0.225670
308,1203.12,0.186745
309,1207.03,0.125339
310,1210.94,0.122732
311,1214.84,0.131850
312,1218.75,0.143000
313,1222.66,0.132243
314,1226.56,0.123802
315,1230.47,0.127540
316,1234.38,0.125047
317,1238.28,0.141675
318,1242.19,0.144259
319,1246.09,0.160454
320,1250.00,0.177372
321,1253.91,0.171878
322,1257.81,0.150718
323,1261.72,0.183072
324,1265.62,0.164151
325,1269.53,0.165113
326,1273.44,0.175752
327,1277.34,0.171520
328,1281.25,0.177939
329,1285.16,0.163935
330,1289.06,0.166587
331,1292.97,0.158165
332,1296.88,0.138979
333,1300.78,0.127451
334,1304.69,0.123615
335,1308.59,0.129797
336,1312.50,0.142932
337,1316.41,0.148487
338,1320.31,0.142412
339,1324.22,0.149990
340,1328.12,0.179111
341,1332.03,0.204374
342,1335.94,0.231506
343,1339.84,0.225361
344,1343.75,0.170572
345,1347.66,0.153050
346,1351.56,0.184622
347,1355.47,0.175213
348,1359.38,0.177703
349,1363.28,0.169140
350,1367.19,0.208688
351,1371.09,0.188050
352,1375.00,0.157115
353,1378.91,0.166603
354,1382.81,0.156250
355,1386.72,0.139399
356,1390.62,0.145048
357,1394.53,0.121688
358,1398.44,0.128839
359,1402.34,0.128674
360,1406.25,0.104649
361,1410.16,0.090852
362,1414.06,0.108262
363,1417.97,0.106680
364,1421.88,0.105672
365,1425.78,0.092515
366,1429.69,0.109383
367,1433.59,0.126774
368,1437.50,0.124518
369,1441.41,0.148030
370,1445.31,0.170059
371,1449.22,0.147513
372,1453.12,0.144290
373,1457.03,0.161343
374,1460.94,0.164875
375,1464.84,0.190645
376,1468.75,0.183824
377,1472.66,0.189737
378,1476.56,0.177505
379,1480.47,0.145303
380,1484.38,0.130572
381,1488.28,0.123365
382,1492.19,0.104454
383,1496.09,0.095055
384,1500.00,0.077846
385,1503.91,0.087149
386,1507.81,0.086935
387,1511.72,0.072452
388,1515.62,0.073236
389,1519.53,0.071460
390,1523.44,0.077983
391,1527.34,0.090741
392,1531.25,0.082516
393,1535.16,0.090301
394,1539.06,0.083201
395,1542.97,0.076522
396,1546.88,0.078881
397,1550.78,0.090155
398,1554.69,0.081761
399,1558.59,0.081979
400,1562.50,0.076069
401,1566.41,0.069993
402,1570.31,0.060554
403,1574.22,0.055684
404,1578.12,0.062126
405,1582.03,0.065990
406,1585.94,0.065804
