Bin,Frequency_Hz,Power
286,1117.19,0.242407
287,1121.09,0.236326
288,1125.00,0.315895
289,1128.91,0.337085
290,1132.81,0.354792
291,1136.72,0.326670
292,1140.62,0.395526
293,1144.53,0.431200
294,1148.44,0.508474
295,1152.34,0.597351
296,1156.25,0.511807
297,1160.16,0.527188
298,1164.06,0.476377
299,1167.97,0.383176
300,1171.88,0.370595
301,1175.78,0.370596
302,1179.69,0.498924
303,1183.59,0.475089
304,1187.50,0.404258
305,1191.41,0.440825
306,1195.31,0.499593
307,1199.22,0.512812
308,1203.12,0.425156
309,1207.03,0.376485
310,1210.94,0.367817
311,1214.84,0.406954
312,1218.75,0.392728
313,1222.66,0.407037
314,1226.56,0.407021
315,1230.47,0.396445
316,1234.38,0.415375
317,1238.28,0.543496
318,1242.19,0.482916
319,1246.09,0.539743
320,1250.00,0.453920
321,1253.91,0.438624
322,1257.81,0.469123
323,1261.72,0.406029
324,1265.62,0.604800
325,1269.53,0.541699
326,1273.44,0.462025
327,1277.34,0.405670
328,1281.25,0.484564
329,1285.16,0.510554
330,1289.06,0.509655
331,1292.97,0.514000
332,1296.88,0.490051
333,1300.78,0.426976
334,1304.69,0.398460
335,1308.59,0.564476
336,1312.50,0.556292
337,1316.41,0.522821
338,1320.31,0.523332
339,1324.22,0.475271
340,1328.12,0.479768
341,1332.03,0.503803
342,1335.94,0.545311
343,1339.84,0.614943
344,1343.75,0.499088
345,1347.66,0.518050
346,1351.56,0.476168
347,1355.47,0.357479
348,1359.38,0.390647
349,1363.28,0.464003
350,1367.19,0.494070
351,1371.09,0.467841
352,1375.00,0.398697
353,1378.91,0.418930
354,1382.81,0.424238
355,1386.72,0.497352
356,1390.62,0.426078
357,1394.53,0.411994
358,1398.44,0.338627
359,1402.34,0.302928
360,1406.25,0.330385
361,1410.16,0.364165
362,1414.06,0.346127
363,1417.97,0.352217
364,1421.88,0.392516
365,1425.78,0.452775
366,1429.69,0.433856
367,1433.59,0.469799
368,1437.50,0.450966
369,1441.41,0.346650
370,1445.31,0.375025
371,1449.22,0.363464
372,1453.12,0.314845
373,1457.03,0.299898
374,1460.94,0.284344
375,1464.84,0.345972
376,1468.75,0.379106
377,1472.66,0.378613
378,1476.56,0.339074
379,1480.47,0.301877
380,1484.38,0.304147
381,1488.28,0.309383
382,1492.19,0.294739
383,1496.09,0.291957
384,1500.00,0.261720
385,1503.91,0.275323
386,1507.81,0.247272
387,1511.72,0.254948
388,1515.62,0.258727
389,1519.53,0.292055
390,1523.44,0.309764
391,1527.34,0.307513
392,1531.25,0.348051
393,1535.16,0.329622
394,1539.06,0.309309
395,1542.97,0.327217
396,1546.88,0.286297
397,1550.78,0.311187
398,1554.69,0.297391
399,1558.59,0.313017
400,1562.50,0.309565
401,1566.41,0.316216
402,1570.31,0.310769
403,1574.22,0.260649
404,1578.12,0.236140
405,1582.03,0.235642
406,1585.94,0.282376
407,1589.84,0.296935
408,1593.75,0.258434
409,1597.66,0.261867
410,1601.56,0.232780
411,1605.47,0.192076
412,1609.38,0.231870
413,1613.28,0.225397
414,1617.19,0.204849
415,1621.09,0.201960
416,1625.00,0.247387
417,1628.91,0.284308
418,1632.81,0.246347
419,1636.72,0.275857
420,1640.62,0.254036
421,1644.53,0.227836
422,1648.44,0.205273
423,1652.34,0.233619
424,1656.25,0.187940
425,1660.16,0.234061
426,1664.06,0.273852
427,1667.97,0.324634
428,1671.88,0.331846
429,1675.78,0.325199
430,1679.69,0.297251
431,1683.59,0.250893
432,1687.50,0.246841
433,1691.41,0.265561
434,1695.31,0.239524
435,1699.22,0.236505
436,1703.12,0.241325
437,1707.03,0.267294
438,1710.94,0.301740
439,1714.84,0.276904
440,1718.75,0.273834
441,1722.66,0.323624
442,1726.56,0.275156
443,1730.47,0.230351
444,1734.38,0.215120
445,1738.28,0.233297
446,1742.19,0.215350
447,1746.09,0.189547
448,1750.00,0.206620
449,1753.91,0.211634
450,1757.81,0.175937
451,1761.72,0.219557
452,1765.62,0.177578
453,1769.53,0.245599
454,1773.44,0.302514
455,1777.34,0.242615
456,1781.25,0.310352
457,1785.16,0.278513
458,1789.06,0.242810
459,1792.97,0.270295
460,1796.88,0.276307
461,1800.78,0.220017
462,1804.69,0.182822
463,1808.59,0.174026
464,1812.50,0.195528
465,1816.41,0.194343
466,1820.31,0.227876
467,1824.22,0.261080
468,1828.12,0.214227
469,1832.03,0.273223
470,1835.94,0.253821
471,1839.84,0.233939
472,1843.75,0.181644
473,1847.66,0.196402
474,1851.56,0.223625
475,1855.47,0.216248
476,1859.38,0.210377
477,1863.28,0.202291
478,1867.19,0.217994
479,1871.09,0.226055
480,1875.00,0.240776
481,1878.91,0.210655
482,1882.81,0.216040
483,1886.72,0.242307
484,1890.62,0.239132
485,1894.53,0.213450
486,1898.44,0.229512
487,1902.34,0.215335
488,1906.25,0.207953
489,1910.16,0.223691
490,1914.06,0.255123
491,1917.97,0.255422
492,1921.88,0.265821
493,1925.78,0.237190
494,1929.69,0.209290
495,1933.59,0.210464
496,1937.50,0.202834
497,1941.41,0.227335
498,1945.31,0.258707
499,1949.22,0.284368
500,1953.12,0.300948
501,1957.03,0.257326
502,1960.94,0.227051
503,1964.84,0.226481
504,1968.75,0.247062
505,1972.66,0.269296
506,1976.56,0.243629
507,1980.47,0.228255
508,1984.38,0.261863
509,1988.28,0.271170
510,1992.19,0.320263
511,1996.09,0.232045
512,2000.00,0.222408
513,2003.91,0.257279
514,2007.81,0.247895
515,2011.72,0.254345
516,2015.62,0.235394
517,2019.53,0.255939
518,2023.44,0.261302
519,2027.34,0.304523
